time peak_frequency snr channel
1262793614.5625 24.612850189208984 22.621980667114258 H1:GDS-CALIB_STRAIN
1262793711.375 25.117910385131836 27.989870071411133 H1:GDS-CALIB_STRAIN
1262793777.4375 35.79507064819336 13.68280029296875 H1:GDS-CALIB_STRAIN
1262793799.0625 39.90256881713867 12.557600021362305 H1:GDS-CALIB_STRAIN
1262793802.0625 30.48674964904785 29.20418930053711 H1:GDS-CALIB_STRAIN
1262793844.875 31.213220596313477 28.255390167236328 H1:GDS-CALIB_STRAIN
1262793972.3125 24.177759170532227 23.944189071655273 H1:GDS-CALIB_STRAIN
1262793976.125 24.18655014038086 16.118080139160156 H1:GDS-CALIB_STRAIN
1262794082.3125 23.7503604888916 17.965940475463867 H1:GDS-CALIB_STRAIN
1262794122.375 26.085140228271484 23.097900390625 H1:GDS-CALIB_STRAIN
